#Kinetic_energy [GeV],Total_st_pw [MeV/m]
2.000E-02,3.518E+01
4.000E-02,4.571E+01
6.000E-02,5.601E+01
8.000E-02,6.630E+01
1.000E-01,7.661E+01
1.200E-01,8.690E+01
1.400E-01,9.726E+01
1.600E-01,1.076E+02
1.800E-01,1.180E+02
2.000E-01,1.284E+02
2.200E-01,1.387E+02
2.400E-01,1.491E+02
2.600E-01,1.595E+02
2.800E-01,1.699E+02
3.000E-01,1.804E+02
3.200E-01,1.908E+02
3.400E-01,2.012E+02
3.600E-01,2.116E+02
3.800E-01,2.220E+02
4.000E-01,2.325E+02
4.200E-01,2.429E+02
4.400E-01,2.533E+02
4.600E-01,2.637E+02
4.800E-01,2.742E+02
5.000E-01,2.846E+02
5.200E-01,2.951E+02
5.400E-01,3.055E+02
5.600E-01,3.159E+02
5.800E-01,3.264E+02
6.000E-01,3.369E+02
6.200E-01,3.473E+02
6.400E-01,3.577E+02
6.600E-01,3.682E+02
6.800E-01,3.786E+02
7.000E-01,3.891E+02
7.200E-01,3.995E+02
7.400E-01,4.100E+02
7.600E-01,4.205E+02
7.800E-01,4.310E+02
8.000E-01,4.415E+02
8.200E-01,4.519E+02
8.400E-01,4.624E+02
8.600E-01,4.728E+02
8.800E-01,4.833E+02
9.000E-01,4.938E+02
9.200E-01,5.043E+02
9.400E-01,5.147E+02
9.600E-01,5.252E+02
9.800E-01,5.357E+02
1.000E+00,5.462E+02
1.020E+00,5.568E+02
1.040E+00,5.675E+02
1.060E+00,5.781E+02
1.080E+00,5.887E+02
1.100E+00,5.994E+02
1.120E+00,6.100E+02
1.140E+00,6.207E+02
1.160E+00,6.313E+02
1.180E+00,6.420E+02
1.200E+00,6.526E+02
1.220E+00,6.632E+02
1.240E+00,6.739E+02
1.260E+00,6.845E+02
1.280E+00,6.952E+02
1.300E+00,7.058E+02
1.320E+00,7.165E+02
1.340E+00,7.271E+02
1.360E+00,7.378E+02
1.380E+00,7.484E+02
1.400E+00,7.591E+02
1.420E+00,7.697E+02
1.440E+00,7.804E+02
1.460E+00,7.910E+02
1.480E+00,8.017E+02
1.500E+00,8.124E+02
1.520E+00,8.230E+02
1.540E+00,8.337E+02
1.560E+00,8.443E+02
1.580E+00,8.550E+02
1.600E+00,8.656E+02
1.620E+00,8.763E+02
1.640E+00,8.869E+02
1.660E+00,8.976E+02
1.680E+00,9.083E+02
1.700E+00,9.189E+02
1.720E+00,9.296E+02
1.740E+00,9.402E+02
1.760E+00,9.509E+02
1.780E+00,9.616E+02
1.800E+00,9.722E+02
1.820E+00,9.829E+02
1.840E+00,9.935E+02
1.860E+00,1.004E+03
1.880E+00,1.015E+03
1.900E+00,1.026E+03
1.920E+00,1.036E+03
1.940E+00,1.047E+03
1.960E+00,1.058E+03
1.980E+00,1.068E+03
2.000E+00,1.079E+03
