#Kinetic_energy [GeV],Total_st_pw [MeV/m]
2.000E-02,1.170E+01
4.000E-02,7.787E+00
6.000E-02,6.488E+00
8.000E-02,5.871E+00
1.000E-01,5.530E+00
1.200E-01,5.325E+00
1.400E-01,5.197E+00
1.600E-01,5.115E+00
1.800E-01,5.064E+00
2.000E-01,5.032E+00
2.200E-01,5.015E+00
2.400E-01,5.007E+00
2.600E-01,5.007E+00
2.800E-01,5.012E+00
3.000E-01,5.020E+00
3.200E-01,5.032E+00
3.400E-01,5.045E+00
3.600E-01,5.060E+00
3.800E-01,5.077E+00
4.000E-01,5.094E+00
4.200E-01,5.112E+00
4.400E-01,5.130E+00
4.600E-01,5.148E+00
4.800E-01,5.167E+00
5.000E-01,5.186E+00
5.200E-01,5.204E+00
5.400E-01,5.223E+00
5.600E-01,5.242E+00
5.800E-01,5.260E+00
6.000E-01,5.278E+00
6.200E-01,5.296E+00
6.400E-01,5.314E+00
6.600E-01,5.332E+00
6.800E-01,5.349E+00
7.000E-01,5.367E+00
7.200E-01,5.384E+00
7.400E-01,5.400E+00
7.600E-01,5.417E+00
7.800E-01,5.433E+00
8.000E-01,5.449E+00
8.200E-01,5.465E+00
8.400E-01,5.481E+00
8.600E-01,5.496E+00
8.800E-01,5.511E+00
9.000E-01,5.526E+00
9.200E-01,5.541E+00
9.400E-01,5.555E+00
9.600E-01,5.570E+00
9.800E-01,5.584E+00
1.000E+00,5.598E+00
1.020E+00,5.613E+00
1.040E+00,5.627E+00
1.060E+00,5.640E+00
1.080E+00,5.654E+00
1.100E+00,5.667E+00
1.120E+00,5.680E+00
1.140E+00,5.693E+00
1.160E+00,5.706E+00
1.180E+00,5.719E+00
1.200E+00,5.731E+00
1.220E+00,5.743E+00
1.240E+00,5.755E+00
1.260E+00,5.767E+00
1.280E+00,5.779E+00
1.300E+00,5.791E+00
1.320E+00,5.802E+00
1.340E+00,5.814E+00
1.360E+00,5.825E+00
1.380E+00,5.836E+00
1.400E+00,5.847E+00
1.420E+00,5.858E+00
1.440E+00,5.868E+00
1.460E+00,5.879E+00
1.480E+00,5.889E+00
1.500E+00,5.900E+00
1.520E+00,5.910E+00
1.540E+00,5.920E+00
1.560E+00,5.929E+00
1.580E+00,5.939E+00
1.600E+00,5.949E+00
1.620E+00,5.958E+00
1.640E+00,5.967E+00
1.660E+00,5.977E+00
1.680E+00,5.986E+00
1.700E+00,5.995E+00
1.720E+00,6.003E+00
1.740E+00,6.012E+00
1.760E+00,6.021E+00
1.780E+00,6.029E+00
1.800E+00,6.038E+00
1.820E+00,6.046E+00
1.840E+00,6.054E+00
1.860E+00,6.062E+00
1.880E+00,6.070E+00
1.900E+00,6.078E+00
1.920E+00,6.086E+00
1.940E+00,6.094E+00
1.960E+00,6.101E+00
1.980E+00,6.109E+00
2.000E+00,6.116E+00
