#Kinetic_energy [GeV],Total_st_pw [MeV/m]
2.000E-02,1.684E+02
4.000E-02,2.204E+02
6.000E-02,2.717E+02
8.000E-02,3.230E+02
1.000E-01,3.744E+02
1.200E-01,4.258E+02
1.400E-01,4.776E+02
1.600E-01,5.294E+02
1.800E-01,5.812E+02
2.000E-01,6.332E+02
2.200E-01,6.849E+02
2.400E-01,7.368E+02
2.600E-01,7.887E+02
2.800E-01,8.409E+02
3.000E-01,8.931E+02
3.200E-01,9.450E+02
3.400E-01,9.970E+02
3.600E-01,1.049E+03
3.800E-01,1.101E+03
4.000E-01,1.154E+03
4.200E-01,1.206E+03
4.400E-01,1.258E+03
4.600E-01,1.310E+03
4.800E-01,1.362E+03
5.000E-01,1.414E+03
5.200E-01,1.466E+03
5.400E-01,1.519E+03
5.600E-01,1.571E+03
5.800E-01,1.623E+03
6.000E-01,1.675E+03
6.200E-01,1.728E+03
6.400E-01,1.780E+03
6.600E-01,1.832E+03
6.800E-01,1.884E+03
7.000E-01,1.937E+03
7.200E-01,1.989E+03
7.400E-01,2.041E+03
7.600E-01,2.094E+03
7.800E-01,2.146E+03
8.000E-01,2.198E+03
8.200E-01,2.251E+03
8.400E-01,2.303E+03
8.600E-01,2.355E+03
8.800E-01,2.408E+03
9.000E-01,2.460E+03
9.200E-01,2.512E+03
9.400E-01,2.565E+03
9.600E-01,2.617E+03
9.800E-01,2.670E+03
1.000E+00,2.722E+03
1.020E+00,2.775E+03
1.040E+00,2.829E+03
1.060E+00,2.882E+03
1.080E+00,2.935E+03
1.100E+00,2.988E+03
1.120E+00,3.041E+03
1.140E+00,3.095E+03
1.160E+00,3.148E+03
1.180E+00,3.201E+03
1.200E+00,3.254E+03
1.220E+00,3.307E+03
1.240E+00,3.361E+03
1.260E+00,3.414E+03
1.280E+00,3.467E+03
1.300E+00,3.520E+03
1.320E+00,3.574E+03
1.340E+00,3.627E+03
1.360E+00,3.680E+03
1.380E+00,3.733E+03
1.400E+00,3.787E+03
1.420E+00,3.840E+03
1.440E+00,3.893E+03
1.460E+00,3.946E+03
1.480E+00,4.000E+03
1.500E+00,4.053E+03
1.520E+00,4.106E+03
1.540E+00,4.159E+03
1.560E+00,4.213E+03
1.580E+00,4.266E+03
1.600E+00,4.319E+03
1.620E+00,4.373E+03
1.640E+00,4.426E+03
1.660E+00,4.479E+03
1.680E+00,4.532E+03
1.700E+00,4.586E+03
1.720E+00,4.639E+03
1.740E+00,4.692E+03
1.760E+00,4.746E+03
1.780E+00,4.799E+03
1.800E+00,4.852E+03
1.820E+00,4.906E+03
1.840E+00,4.959E+03
1.860E+00,5.012E+03
1.880E+00,5.065E+03
1.900E+00,5.119E+03
1.920E+00,5.172E+03
1.940E+00,5.225E+03
1.960E+00,5.279E+03
1.980E+00,5.332E+03
2.000E+00,5.385E+03
