#Kinetic_energy [GeV],Total_st_pw [MeV/m]
2.000E-02,1.202E+01
4.000E-02,1.558E+01
6.000E-02,1.904E+01
8.000E-02,2.248E+01
1.000E-01,2.592E+01
1.200E-01,2.936E+01
1.400E-01,3.281E+01
1.600E-01,3.627E+01
1.800E-01,3.973E+01
2.000E-01,4.320E+01
2.200E-01,4.665E+01
2.400E-01,5.010E+01
2.600E-01,5.357E+01
2.800E-01,5.704E+01
3.000E-01,6.053E+01
3.200E-01,6.399E+01
3.400E-01,6.746E+01
3.600E-01,7.093E+01
3.800E-01,7.441E+01
4.000E-01,7.789E+01
4.200E-01,8.136E+01
4.400E-01,8.483E+01
4.600E-01,8.831E+01
4.800E-01,9.179E+01
5.000E-01,9.527E+01
5.200E-01,9.875E+01
5.400E-01,1.022E+02
5.600E-01,1.057E+02
5.800E-01,1.092E+02
6.000E-01,1.127E+02
6.200E-01,1.162E+02
6.400E-01,1.196E+02
6.600E-01,1.231E+02
6.800E-01,1.266E+02
7.000E-01,1.301E+02
7.200E-01,1.336E+02
7.400E-01,1.371E+02
7.600E-01,1.406E+02
7.800E-01,1.441E+02
8.000E-01,1.476E+02
8.200E-01,1.510E+02
8.400E-01,1.545E+02
8.600E-01,1.580E+02
8.800E-01,1.615E+02
9.000E-01,1.650E+02
9.200E-01,1.685E+02
9.400E-01,1.720E+02
9.600E-01,1.755E+02
9.800E-01,1.790E+02
1.000E+00,1.825E+02
1.020E+00,1.860E+02
1.040E+00,1.896E+02
1.060E+00,1.931E+02
1.080E+00,1.966E+02
1.100E+00,2.002E+02
1.120E+00,2.037E+02
1.140E+00,2.073E+02
1.160E+00,2.108E+02
1.180E+00,2.144E+02
1.200E+00,2.179E+02
1.220E+00,2.215E+02
1.240E+00,2.250E+02
1.260E+00,2.286E+02
1.280E+00,2.321E+02
1.300E+00,2.357E+02
1.320E+00,2.392E+02
1.340E+00,2.428E+02
1.360E+00,2.463E+02
1.380E+00,2.499E+02
1.400E+00,2.534E+02
1.420E+00,2.570E+02
1.440E+00,2.605E+02
1.460E+00,2.641E+02
1.480E+00,2.676E+02
1.500E+00,2.712E+02
1.520E+00,2.747E+02
1.540E+00,2.783E+02
1.560E+00,2.818E+02
1.580E+00,2.854E+02
1.600E+00,2.889E+02
1.620E+00,2.925E+02
1.640E+00,2.960E+02
1.660E+00,2.996E+02
1.680E+00,3.032E+02
1.700E+00,3.067E+02
1.720E+00,3.103E+02
1.740E+00,3.138E+02
1.760E+00,3.174E+02
1.780E+00,3.209E+02
1.800E+00,3.245E+02
1.820E+00,3.280E+02
1.840E+00,3.316E+02
1.860E+00,3.351E+02
1.880E+00,3.387E+02
1.900E+00,3.422E+02
1.920E+00,3.458E+02
1.940E+00,3.494E+02
1.960E+00,3.529E+02
1.980E+00,3.565E+02
2.000E+00,3.600E+02
