#Kinetic_energy [GeV],Total_st_pw [MeV/m]
2.000E-02,2.141E+02
4.000E-02,1.425E+02
6.000E-02,1.187E+02
8.000E-02,1.074E+02
1.000E-01,1.012E+02
1.200E-01,9.738E+01
1.400E-01,9.498E+01
1.600E-01,9.342E+01
1.800E-01,9.239E+01
2.000E-01,9.173E+01
2.200E-01,9.132E+01
2.400E-01,9.108E+01
2.600E-01,9.097E+01
2.800E-01,9.096E+01
3.000E-01,9.102E+01
3.200E-01,9.113E+01
3.400E-01,9.128E+01
3.600E-01,9.145E+01
3.800E-01,9.165E+01
4.000E-01,9.187E+01
4.200E-01,9.210E+01
4.400E-01,9.234E+01
4.600E-01,9.258E+01
4.800E-01,9.283E+01
5.000E-01,9.308E+01
5.200E-01,9.333E+01
5.400E-01,9.358E+01
5.600E-01,9.383E+01
5.800E-01,9.408E+01
6.000E-01,9.432E+01
6.200E-01,9.457E+01
6.400E-01,9.481E+01
6.600E-01,9.505E+01
6.800E-01,9.528E+01
7.000E-01,9.551E+01
7.200E-01,9.574E+01
7.400E-01,9.597E+01
7.600E-01,9.619E+01
7.800E-01,9.640E+01
8.000E-01,9.662E+01
8.200E-01,9.683E+01
8.400E-01,9.704E+01
8.600E-01,9.724E+01
8.800E-01,9.744E+01
9.000E-01,9.764E+01
9.200E-01,9.784E+01
9.400E-01,9.803E+01
9.600E-01,9.822E+01
9.800E-01,9.840E+01
1.000E+00,9.859E+01
1.020E+00,9.880E+01
1.040E+00,9.898E+01
1.060E+00,9.916E+01
1.080E+00,9.934E+01
1.100E+00,9.952E+01
1.120E+00,9.969E+01
1.140E+00,9.986E+01
1.160E+00,1.000E+02
1.180E+00,1.002E+02
1.200E+00,1.004E+02
1.220E+00,1.005E+02
1.240E+00,1.007E+02
1.260E+00,1.008E+02
1.280E+00,1.010E+02
1.300E+00,1.011E+02
1.320E+00,1.013E+02
1.340E+00,1.014E+02
1.360E+00,1.016E+02
1.380E+00,1.017E+02
1.400E+00,1.019E+02
1.420E+00,1.020E+02
1.440E+00,1.021E+02
1.460E+00,1.023E+02
1.480E+00,1.024E+02
1.500E+00,1.025E+02
1.520E+00,1.027E+02
1.540E+00,1.028E+02
1.560E+00,1.029E+02
1.580E+00,1.030E+02
1.600E+00,1.032E+02
1.620E+00,1.033E+02
1.640E+00,1.034E+02
1.660E+00,1.035E+02
1.680E+00,1.037E+02
1.700E+00,1.038E+02
1.720E+00,1.039E+02
1.740E+00,1.040E+02
1.760E+00,1.041E+02
1.780E+00,1.042E+02
1.800E+00,1.043E+02
1.820E+00,1.044E+02
1.840E+00,1.046E+02
1.860E+00,1.047E+02
1.880E+00,1.048E+02
1.900E+00,1.049E+02
1.920E+00,1.050E+02
1.940E+00,1.051E+02
1.960E+00,1.052E+02
1.980E+00,1.053E+02
2.000E+00,1.054E+02
