#Kinetic_energy [GeV],Total_st_pw [MeV/m]
2.000E-02,7.424E+00
4.000E-02,9.587E+00
6.000E-02,1.167E+01
8.000E-02,1.374E+01
1.000E-01,1.581E+01
1.200E-01,1.787E+01
1.400E-01,1.994E+01
1.600E-01,2.202E+01
1.800E-01,2.409E+01
2.000E-01,2.618E+01
2.200E-01,2.825E+01
2.400E-01,3.032E+01
2.600E-01,3.240E+01
2.800E-01,3.449E+01
3.000E-01,3.658E+01
3.200E-01,3.865E+01
3.400E-01,4.073E+01
3.600E-01,4.282E+01
3.800E-01,4.490E+01
4.000E-01,4.699E+01
4.200E-01,4.907E+01
4.400E-01,5.116E+01
4.600E-01,5.325E+01
4.800E-01,5.533E+01
5.000E-01,5.742E+01
5.200E-01,5.951E+01
5.400E-01,6.160E+01
5.600E-01,6.369E+01
5.800E-01,6.578E+01
6.000E-01,6.787E+01
6.200E-01,6.996E+01
6.400E-01,7.205E+01
6.600E-01,7.413E+01
6.800E-01,7.623E+01
7.000E-01,7.832E+01
7.200E-01,8.041E+01
7.400E-01,8.250E+01
7.600E-01,8.460E+01
7.800E-01,8.669E+01
8.000E-01,8.879E+01
8.200E-01,9.088E+01
8.400E-01,9.297E+01
8.600E-01,9.507E+01
8.800E-01,9.716E+01
9.000E-01,9.926E+01
9.200E-01,1.014E+02
9.400E-01,1.034E+02
9.600E-01,1.055E+02
9.800E-01,1.076E+02
1.000E+00,1.097E+02
1.020E+00,1.119E+02
1.040E+00,1.140E+02
1.060E+00,1.161E+02
1.080E+00,1.182E+02
1.100E+00,1.204E+02
1.120E+00,1.225E+02
1.140E+00,1.246E+02
1.160E+00,1.268E+02
1.180E+00,1.289E+02
1.200E+00,1.310E+02
1.220E+00,1.331E+02
1.240E+00,1.353E+02
1.260E+00,1.374E+02
1.280E+00,1.395E+02
1.300E+00,1.417E+02
1.320E+00,1.438E+02
1.340E+00,1.459E+02
1.360E+00,1.481E+02
1.380E+00,1.502E+02
1.400E+00,1.523E+02
1.420E+00,1.544E+02
1.440E+00,1.566E+02
1.460E+00,1.587E+02
1.480E+00,1.608E+02
1.500E+00,1.630E+02
1.520E+00,1.651E+02
1.540E+00,1.672E+02
1.560E+00,1.694E+02
1.580E+00,1.715E+02
1.600E+00,1.736E+02
1.620E+00,1.758E+02
1.640E+00,1.779E+02
1.660E+00,1.800E+02
1.680E+00,1.822E+02
1.700E+00,1.843E+02
1.720E+00,1.864E+02
1.740E+00,1.885E+02
1.760E+00,1.907E+02
1.780E+00,1.928E+02
1.800E+00,1.949E+02
1.820E+00,1.971E+02
1.840E+00,1.992E+02
1.860E+00,2.013E+02
1.880E+00,2.035E+02
1.900E+00,2.056E+02
1.920E+00,2.077E+02
1.940E+00,2.099E+02
1.960E+00,2.120E+02
1.980E+00,2.141E+02
2.000E+00,2.163E+02
