#Kinetic_energy [GeV],Total_st_pw [MeV/m]
2.000E-02,1.066E+03
4.000E-02,6.130E+02
6.000E-02,4.444E+02
8.000E-02,3.538E+02
1.000E-01,2.968E+02
1.200E-01,2.576E+02
1.400E-01,2.287E+02
1.600E-01,2.067E+02
1.800E-01,1.892E+02
2.000E-01,1.750E+02
2.200E-01,1.632E+02
2.400E-01,1.533E+02
2.600E-01,1.448E+02
2.800E-01,1.375E+02
3.000E-01,1.311E+02
3.200E-01,1.255E+02
3.400E-01,1.205E+02
3.600E-01,1.160E+02
3.800E-01,1.120E+02
4.000E-01,1.084E+02
4.200E-01,1.051E+02
4.400E-01,1.021E+02
4.600E-01,9.937E+01
4.800E-01,9.685E+01
5.000E-01,9.452E+01
5.200E-01,9.237E+01
5.400E-01,9.038E+01
5.600E-01,8.853E+01
5.800E-01,8.680E+01
6.000E-01,8.519E+01
6.200E-01,8.368E+01
6.400E-01,8.226E+01
6.600E-01,8.093E+01
6.800E-01,7.968E+01
7.000E-01,7.851E+01
7.200E-01,7.739E+01
7.400E-01,7.634E+01
7.600E-01,7.535E+01
7.800E-01,7.441E+01
8.000E-01,7.351E+01
8.200E-01,7.266E+01
8.400E-01,7.185E+01
8.600E-01,7.108E+01
8.800E-01,7.035E+01
9.000E-01,6.965E+01
9.200E-01,6.899E+01
9.400E-01,6.835E+01
9.600E-01,6.774E+01
9.800E-01,6.716E+01
1.000E+00,6.660E+01
1.020E+00,6.606E+01
1.040E+00,6.555E+01
1.060E+00,6.506E+01
1.080E+00,6.459E+01
1.100E+00,6.413E+01
1.120E+00,6.370E+01
1.140E+00,6.328E+01
1.160E+00,6.287E+01
1.180E+00,6.249E+01
1.200E+00,6.211E+01
1.220E+00,6.175E+01
1.240E+00,6.140E+01
1.260E+00,6.107E+01
1.280E+00,6.074E+01
1.300E+00,6.043E+01
1.320E+00,6.013E+01
1.340E+00,5.984E+01
1.360E+00,5.956E+01
1.380E+00,5.928E+01
1.400E+00,5.902E+01
1.420E+00,5.877E+01
1.440E+00,5.852E+01
1.460E+00,5.828E+01
1.480E+00,5.805E+01
1.500E+00,5.783E+01
1.520E+00,5.761E+01
1.540E+00,5.740E+01
1.560E+00,5.719E+01
1.580E+00,5.700E+01
1.600E+00,5.680E+01
1.620E+00,5.662E+01
1.640E+00,5.644E+01
1.660E+00,5.626E+01
1.680E+00,5.609E+01
1.700E+00,5.593E+01
1.720E+00,5.577E+01
1.740E+00,5.561E+01
1.760E+00,5.546E+01
1.780E+00,5.531E+01
1.800E+00,5.517E+01
1.820E+00,5.503E+01
1.840E+00,5.490E+01
1.860E+00,5.476E+01
1.880E+00,5.464E+01
1.900E+00,5.451E+01
1.920E+00,5.439E+01
1.940E+00,5.427E+01
1.960E+00,5.416E+01
1.980E+00,5.405E+01
2.000E+00,5.394E+01
