#Kinetic_energy [GeV],Total_st_pw [MeV/m]
2.000E-02,8.350E+02
4.000E-02,4.802E+02
6.000E-02,3.481E+02
8.000E-02,2.772E+02
1.000E-01,2.325E+02
1.200E-01,2.018E+02
1.400E-01,1.792E+02
1.600E-01,1.619E+02
1.800E-01,1.482E+02
2.000E-01,1.371E+02
2.200E-01,1.279E+02
2.400E-01,1.201E+02
2.600E-01,1.135E+02
2.800E-01,1.077E+02
3.000E-01,1.027E+02
3.200E-01,9.831E+01
3.400E-01,9.440E+01
3.600E-01,9.090E+01
3.800E-01,8.776E+01
4.000E-01,8.492E+01
4.200E-01,8.234E+01
4.400E-01,7.999E+01
4.600E-01,7.784E+01
4.800E-01,7.587E+01
5.000E-01,7.404E+01
5.200E-01,7.236E+01
5.400E-01,7.080E+01
5.600E-01,6.935E+01
5.800E-01,6.799E+01
6.000E-01,6.673E+01
6.200E-01,6.555E+01
6.400E-01,6.444E+01
6.600E-01,6.340E+01
6.800E-01,6.242E+01
7.000E-01,6.150E+01
7.200E-01,6.063E+01
7.400E-01,5.980E+01
7.600E-01,5.902E+01
7.800E-01,5.828E+01
8.000E-01,5.758E+01
8.200E-01,5.692E+01
8.400E-01,5.629E+01
8.600E-01,5.568E+01
8.800E-01,5.511E+01
9.000E-01,5.456E+01
9.200E-01,5.404E+01
9.400E-01,5.354E+01
9.600E-01,5.306E+01
9.800E-01,5.261E+01
1.000E+00,5.217E+01
1.020E+00,5.175E+01
1.040E+00,5.135E+01
1.060E+00,5.096E+01
1.080E+00,5.059E+01
1.100E+00,5.024E+01
1.120E+00,4.990E+01
1.140E+00,4.957E+01
1.160E+00,4.925E+01
1.180E+00,4.895E+01
1.200E+00,4.865E+01
1.220E+00,4.837E+01
1.240E+00,4.810E+01
1.260E+00,4.784E+01
1.280E+00,4.758E+01
1.300E+00,4.734E+01
1.320E+00,4.710E+01
1.340E+00,4.687E+01
1.360E+00,4.665E+01
1.380E+00,4.644E+01
1.400E+00,4.623E+01
1.420E+00,4.603E+01
1.440E+00,4.584E+01
1.460E+00,4.565E+01
1.480E+00,4.547E+01
1.500E+00,4.530E+01
1.520E+00,4.513E+01
1.540E+00,4.496E+01
1.560E+00,4.480E+01
1.580E+00,4.465E+01
1.600E+00,4.450E+01
1.620E+00,4.435E+01
1.640E+00,4.421E+01
1.660E+00,4.407E+01
1.680E+00,4.394E+01
1.700E+00,4.381E+01
1.720E+00,4.368E+01
1.740E+00,4.356E+01
1.760E+00,4.344E+01
1.780E+00,4.333E+01
1.800E+00,4.322E+01
1.820E+00,4.311E+01
1.840E+00,4.300E+01
1.860E+00,4.290E+01
1.880E+00,4.280E+01
1.900E+00,4.270E+01
1.920E+00,4.261E+01
1.940E+00,4.251E+01
1.960E+00,4.242E+01
1.980E+00,4.234E+01
2.000E+00,4.225E+01
