#Kinetic_energy [GeV],Total_st_pw [MeV/m]
2.000E-02,2.357E+01
4.000E-02,1.509E+01
6.000E-02,1.220E+01
8.000E-02,1.078E+01
1.000E-01,9.957E+00
1.200E-01,9.441E+00
1.400E-01,9.098E+00
1.600E-01,8.862E+00
1.800E-01,8.696E+00
2.000E-01,8.579E+00
2.200E-01,8.495E+00
2.400E-01,8.437E+00
2.600E-01,8.396E+00
2.800E-01,8.370E+00
3.000E-01,8.355E+00
3.200E-01,8.348E+00
3.400E-01,8.347E+00
3.600E-01,8.352E+00
3.800E-01,8.361E+00
4.000E-01,8.373E+00
4.200E-01,8.387E+00
4.400E-01,8.404E+00
4.600E-01,8.422E+00
4.800E-01,8.442E+00
5.000E-01,8.463E+00
5.200E-01,8.484E+00
5.400E-01,8.507E+00
5.600E-01,8.529E+00
5.800E-01,8.552E+00
6.000E-01,8.576E+00
6.200E-01,8.599E+00
6.400E-01,8.623E+00
6.600E-01,8.647E+00
6.800E-01,8.671E+00
7.000E-01,8.694E+00
7.200E-01,8.718E+00
7.400E-01,8.741E+00
7.600E-01,8.765E+00
7.800E-01,8.788E+00
8.000E-01,8.811E+00
8.200E-01,8.834E+00
8.400E-01,8.857E+00
8.600E-01,8.879E+00
8.800E-01,8.901E+00
9.000E-01,8.923E+00
9.200E-01,8.945E+00
9.400E-01,8.967E+00
9.600E-01,8.988E+00
9.800E-01,9.009E+00
1.000E+00,9.030E+00
1.020E+00,9.052E+00
1.040E+00,9.072E+00
1.060E+00,9.093E+00
1.080E+00,9.113E+00
1.100E+00,9.132E+00
1.120E+00,9.152E+00
1.140E+00,9.172E+00
1.160E+00,9.191E+00
1.180E+00,9.210E+00
1.200E+00,9.229E+00
1.220E+00,9.247E+00
1.240E+00,9.266E+00
1.260E+00,9.284E+00
1.280E+00,9.302E+00
1.300E+00,9.320E+00
1.320E+00,9.337E+00
1.340E+00,9.354E+00
1.360E+00,9.371E+00
1.380E+00,9.388E+00
1.400E+00,9.405E+00
1.420E+00,9.421E+00
1.440E+00,9.437E+00
1.460E+00,9.453E+00
1.480E+00,9.469E+00
1.500E+00,9.484E+00
1.520E+00,9.499E+00
1.540E+00,9.515E+00
1.560E+00,9.529E+00
1.580E+00,9.544E+00
1.600E+00,9.559E+00
1.620E+00,9.573E+00
1.640E+00,9.587E+00
1.660E+00,9.601E+00
1.680E+00,9.615E+00
1.700E+00,9.628E+00
1.720E+00,9.642E+00
1.740E+00,9.655E+00
1.760E+00,9.668E+00
1.780E+00,9.681E+00
1.800E+00,9.694E+00
1.820E+00,9.707E+00
1.840E+00,9.719E+00
1.860E+00,9.732E+00
1.880E+00,9.744E+00
1.900E+00,9.756E+00
1.920E+00,9.768E+00
1.940E+00,9.780E+00
1.960E+00,9.792E+00
1.980E+00,9.803E+00
2.000E+00,9.815E+00
