#Kinetic_energy [GeV],Total_st_pw [MeV/m]
2.000E-02,6.120E+02
4.000E-02,3.536E+02
6.000E-02,2.575E+02
8.000E-02,2.066E+02
1.000E-01,1.750E+02
1.200E-01,1.533E+02
1.400E-01,1.375E+02
1.600E-01,1.255E+02
1.800E-01,1.161E+02
2.000E-01,1.084E+02
2.200E-01,1.021E+02
2.400E-01,9.686E+01
2.600E-01,9.238E+01
2.800E-01,8.854E+01
3.000E-01,8.520E+01
3.200E-01,8.227E+01
3.400E-01,7.969E+01
3.600E-01,7.740E+01
3.800E-01,7.536E+01
4.000E-01,7.352E+01
4.200E-01,7.186E+01
4.400E-01,7.036E+01
4.600E-01,6.899E+01
4.800E-01,6.775E+01
5.000E-01,6.661E+01
5.200E-01,6.556E+01
5.400E-01,6.460E+01
5.600E-01,6.370E+01
5.800E-01,6.288E+01
6.000E-01,6.212E+01
6.200E-01,6.141E+01
6.400E-01,6.075E+01
6.600E-01,6.014E+01
6.800E-01,5.956E+01
7.000E-01,5.903E+01
7.200E-01,5.852E+01
7.400E-01,5.805E+01
7.600E-01,5.761E+01
7.800E-01,5.720E+01
8.000E-01,5.681E+01
8.200E-01,5.644E+01
8.400E-01,5.610E+01
8.600E-01,5.577E+01
8.800E-01,5.546E+01
9.000E-01,5.517E+01
9.200E-01,5.490E+01
9.400E-01,5.464E+01
9.600E-01,5.439E+01
9.800E-01,5.416E+01
1.000E+00,5.394E+01
1.020E+00,5.373E+01
1.040E+00,5.354E+01
1.060E+00,5.335E+01
1.080E+00,5.317E+01
1.100E+00,5.300E+01
1.120E+00,5.284E+01
1.140E+00,5.269E+01
1.160E+00,5.255E+01
1.180E+00,5.241E+01
1.200E+00,5.228E+01
1.220E+00,5.216E+01
1.240E+00,5.204E+01
1.260E+00,5.193E+01
1.280E+00,5.182E+01
1.300E+00,5.172E+01
1.320E+00,5.162E+01
1.340E+00,5.153E+01
1.360E+00,5.144E+01
1.380E+00,5.136E+01
1.400E+00,5.128E+01
1.420E+00,5.121E+01
1.440E+00,5.114E+01
1.460E+00,5.107E+01
1.480E+00,5.101E+01
1.500E+00,5.095E+01
1.520E+00,5.089E+01
1.540E+00,5.084E+01
1.560E+00,5.079E+01
1.580E+00,5.074E+01
1.600E+00,5.069E+01
1.620E+00,5.065E+01
1.640E+00,5.061E+01
1.660E+00,5.057E+01
1.680E+00,5.053E+01
1.700E+00,5.050E+01
1.720E+00,5.046E+01
1.740E+00,5.043E+01
1.760E+00,5.040E+01
1.780E+00,5.038E+01
1.800E+00,5.035E+01
1.820E+00,5.033E+01
1.840E+00,5.031E+01
1.860E+00,5.028E+01
1.880E+00,5.026E+01
1.900E+00,5.025E+01
1.920E+00,5.023E+01
1.940E+00,5.021E+01
1.960E+00,5.020E+01
1.980E+00,5.019E+01
2.000E+00,5.017E+01
